£125.06	Policy Expert
£159.59	Sheilas' Wheels
£159.65	esure
£186.83	Intelligent Insurance
£209.91	RIAS
£227.17	Urban Jungle
£230.01	MORE TH>N
£234.62	Grove & Dean
£240.99	Halifax
£255.04	Dial Direct
£262.04	Hastings Essentials
£264.62	Performance Direct
£266.05	Quoteline direct
£268.80	Privilege
£269.49	Quote Your Home
£271.74	LV=
£274.41	Quotemehappy.com
£276.75	Swinton Essentials
£277.88	Quotemehappy.com
£277.90	Quotemehappy.com
£281.12	Privilege Platinum
£284.94	Hastings Premier
£292.41	One Call Insurance
£292.81	Swinton Classic
£293.44	Churchill
£293.44	Churchill Home Plus
£297.52	Hastings Direct
£302.19	Sainsbury's Bank
£315.94	Frontier
£320.25	Aviva Online
£321.84	Nationwide Home Insurance
£347.08	M&S Bank
£353.84	HomeProtect
£375.85	Aviva Online
£376.85	Quote 2 Insure
£422.89	One Insurance Solution
£446.78	Go Skippy 
£486.69	John Lewis Home Insurance - Bronze
£491.08	Post Office Bronze
£492.05	RAC
£510.70	Post Office Silver+
£566.31	John Lewis Home Insurance - Silver
£568.05	Post Office Gold+
£591.62	John Lewis Home Insurance - Gold
£641.16	InsureMy Premier
